2025-05-30 11:30:33,692 - INFO - MainThread - Scalable Server listening on 0.0.0.0:8889 with 1 workers
2025-05-30 11:32:35,424 - INFO - Worker_0 - Connection from ('172.16.16.102', 40476) assigned to thread Worker_0
2025-05-30 11:32:37,730 - INFO - Worker_0 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 40476)
2025-05-30 11:32:37,730 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 40476)
2025-05-30 11:32:37,731 - INFO - Worker_0 - Connection from ('172.16.16.102', 40502) assigned to thread Worker_0
2025-05-30 11:32:40,097 - INFO - Worker_0 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 40502)
2025-05-30 11:32:40,098 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 40502)
2025-05-30 11:32:40,098 - INFO - Worker_0 - Connection from ('172.16.16.102', 40508) assigned to thread Worker_0
2025-05-30 11:32:42,389 - INFO - Worker_0 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 40508)
2025-05-30 11:32:42,389 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 40508)
2025-05-30 11:32:42,389 - INFO - Worker_0 - Connection from ('172.16.16.102', 40520) assigned to thread Worker_0
2025-05-30 11:32:44,545 - INFO - Worker_0 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 40520)
2025-05-30 11:32:44,546 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 40520)
2025-05-30 11:32:44,546 - INFO - Worker_0 - Connection from ('172.16.16.102', 40522) assigned to thread Worker_0
2025-05-30 11:32:46,710 - INFO - Worker_0 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 40522)
2025-05-30 11:32:46,710 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 40522)
2025-05-30 11:32:46,711 - INFO - Worker_0 - Connection from ('172.16.16.102', 40534) assigned to thread Worker_0
2025-05-30 11:32:48,905 - INFO - Worker_0 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 40534)
2025-05-30 11:32:48,905 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 40534)
2025-05-30 11:32:48,906 - INFO - Worker_0 - Connection from ('172.16.16.102', 40558) assigned to thread Worker_0
2025-05-30 11:32:51,065 - INFO - Worker_0 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 40558)
2025-05-30 11:32:51,065 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 40558)
2025-05-30 11:32:51,065 - INFO - Worker_0 - Connection from ('172.16.16.102', 40566) assigned to thread Worker_0
2025-05-30 11:32:53,205 - INFO - Worker_0 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 40566)
2025-05-30 11:32:53,206 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 40566)
2025-05-30 11:32:53,206 - INFO - Worker_0 - Connection from ('172.16.16.102', 40550) assigned to thread Worker_0
2025-05-30 11:32:55,451 - INFO - Worker_0 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 40550)
